ID,Ca,Y,EA,s@300,logs@300
111,32,24,0.40760494,6.08E-06,-5.216096421
112,32,28,0.443171504,2.13E-06,-5.671620397
113,32,32,0.423068404,3.90E-06,-5.408935393
114,32,36,0.416479209,4.58E-06,-5.339134522
115,32,40,0.448216139,1.68E-06,-5.774690718
116,32,44,0.438668854,2.43E-06,-5.614393726
117,32,48,0.482950865,6.32E-07,-6.199282922
118,36,0,0.384799853,1.36E-05,-4.866461092
119,36,4,0.415949136,5.62E-06,-5.250263684
120,36,8,0.417866931,5.22E-06,-5.282329497
121,36,12,0.406352218,7.70E-06,-5.113509275
122,36,16,0.424690391,4.02E-06,-5.395773947
123,36,20,0.433804881,3.02E-06,-5.519993057
124,36,24,0.433235101,3.10E-06,-5.508638306
125,36,28,0.43245488,3.07E-06,-5.512861625
126,36,32,0.468484019,1.08E-06,-5.966576245
127,36,36,0.443840549,2.21E-06,-5.655607726
128,36,40,0.471813359,9.88E-07,-6.005243055
129,36,44,0.454567099,1.53E-06,-5.815308569
130,36,48,0.472466521,9.17E-07,-6.037630664
131,40,0,0.381438748,1.58E-05,-4.801342913
132,40,4,0.401960745,8.46E-06,-5.072629637
133,40,8,0.420009064,4.95E-06,-5.305394801
134,40,12,0.429901791,3.66E-06,-5.436518915
135,40,16,0.400011185,8.32E-06,-5.079876674
136,40,20,0.440197532,2.49E-06,-5.603800653
137,40,24,0.431235909,3.11E-06,-5.507239611
138,40,28,0.462702839,1.32E-06,-5.879426069
139,40,32,0.453181363,1.70E-06,-5.769551079
140,40,36,0.466381591,1.16E-06,-5.935542011
141,40,40,0.450262979,1.86E-06,-5.730487056
142,40,44,0.459286146,1.35E-06,-5.869666232
143,40,48,0.459035998,1.43E-06,-5.844663963
144,44,0,0.369344329,2.18E-05,-4.661543506
145,44,4,0.416441489,5.57E-06,-5.254144805
146,44,8,0.438736354,3.05E-06,-5.515700161
147,44,12,0.426082083,3.96E-06,-5.402304814
148,44,16,0.439842164,2.60E-06,-5.585026652
149,44,20,0.454970114,1.67E-06,-5.777283529
150,44,24,0.432099512,3.40E-06,-5.468521083
151,44,28,0.435587676,3.03E-06,-5.518557371
152,44,32,0.461817397,1.41E-06,-5.850780887
153,44,36,0.460256955,1.38E-06,-5.860120914
154,44,40,0.45181945,1.73E-06,-5.761953897
155,44,44,0.454328863,1.64E-06,-5.785156152
156,44,48,0.450546876,1.90E-06,-5.721246399
157,48,0,0.398349493,9.63E-06,-5.016373713
